knf_00557_01097230618	ಪರ್ವತಗಳು ವಾಯುವಿಗನುಗುಣವಾಗಿ ಕಂಪಿಸುವುವು.
knf_06123_00064630211	ಎರಡನೆಯದಾಗಿ ಆರ್ಥಿಕತೆ ಕುಗ್ಗುವಂತೆ ಮಾಡುವ ಕಠಿಣ ಕಾರ್ಯಕ್ರಮಗಳ ಮೂಲಕ ಹೆಚ್ಚುವರಿ ತೆರಿಗೆಗಳನ್ನು ವಿಧಿಸುತ್ತಾರೆ.
knf_07901_01737028748	ಪ್ರಮುಖವಾಗಿ ಇದರ ಅರ್ಥ ವ್ಯಾಪ್ತಿಯು ಸಾಮಾನ್ಯ ಕಾನೂನು
knf_01493_01002833997	ದೇಶದಲ್ಲಿ ಒಂದು ಕಡೆಯಿಂದ ಮತ್ತೊಂದು ಕಡೆಗೂ ಮತ್ತು ಒಂದು ದೇಶದಿಂದ ಮತ್ತೊಂದು ದೇಶಕ್ಕೂ ರವಾನಿಸುವ ಕಾರ್ಡುಗಳ ಮೇಲೂ ಲಕೋಟೆಗಳ ಮೇಲೂ ಹಚ್ಚಲು ಇವನ್ನು ಉಪಯೋಗಿಸುತ್ತಾರೆ.
knf_01796_00260783180	ತೆರಿಗೆದಾರರನ್ನೂ ಸಂರಕ್ಷಿಸುವುದರ ಜೊತೆಗೆ ಲಾಭದಾಯಕ
knf_03467_00882542266	ನಮ್ಮ ದೇಶದಲ್ಲಿ ಬೆಳೆ ಹಾಳುಮಾಡುವ ರೋಗ ಬರುವುದು ಕಡಿಮೆ.
knf_05820_01328134973	ಇದೆಲ್ಲ ಕರಗಿದರೆ ಜಾಗತಿಕ ಸಾಗರದ ಮಟ್ಟ ಐವತ್ತರಿಂದ ಅರುವತ್ತೈದು ಮೀಟರ್
knf_02173_01143477702	ಐವತ್ತು ಮೀಟರ್‌ಗಳಲ್ಲಿ
knf_03467_00587370023	ಅಂತರಜಾಲ ಶಿಷ್ಟಾಚಾರವು ವಿವಿಧ ದಾಳಿಗಳಿಗೆ ತುತ್ತಾಗುವ ಪ್ರಸಂಗವಿದೆ.
knf_02049_00089511790	ಅಂಟಿಕೆ ಪಂಟಿಕೆ ಶಿವಮೊಗ್ಗ ಮತ್ತು ಉತ್ತರ ಕನ್ನಡ ಜಿಲ್ಲೆಯ ಕೆಲವು ಭಾಗಗಳಲ್ಲಿ ಪ್ರಚಾರದಲ್ಲಿರುವ ಒಂದು ಸಂಪ್ರದಾಯ.
knf_05853_00616204098	ಪ್ರಮುಖವಾದವುಗಳು ಈ ಕೆಳಕಂಡಂತಿವೆ.
knf_05820_00567127414	ಇವುಗಳಲ್ಲಿ ನಾಲ್ಕೈದು ಸಂಕೇತಗಳನ್ನು ಮಾತ್ರ ಉಪಯೋಗಿಸಲಾಗಿದ್ದು
knf_01779_01993383198	ಇವುಗಳನ್ನು ಅಲ್ಯೂಮಿನಿಯಂ ಧಾರಕದಲ್ಲಿ ಶೇಖರಿಸಿಡಲಾಗುತ್ತದೆ.
knf_00557_01780407364	ಬಾಗಿಲಿಗೆ ಬಂದ ಜ್ಯೋತಿಯನ್ನು ಸ್ವಾಗತಿಸಿ
knf_02049_00534764864	ಕೊನೆಯ ಪಕ್ಷ ಅಂತರ್ಯುದ್ಧವನ್ನು ಹೂಡಿ 12 ರಾಷ್ಟ್ರಗಳು ತಮ್ಮ ಸರ್ಕಾರದ ಸ್ವರೂಪಗಳನ್ನು ಬದಲಾಯಿಸಿವೆ.
knf_07901_00734076397	ದಿನಪತ್ರಿಕೆ ಅಂಕಣ
knf_01493_02013947578	ಬೇಗನೆ ಕೆಡುವ ಸರಕುಗಳಿಗೆ ಯೋಗ್ಯವಾಗಿಲ್ಲ.
knf_05550_00833367973	ಸಾಫ್ಟ್ ವೇರ್ ,  ಅಂತರಿಕ್ಷಯಾನದ ಬಳಕೆಗಾಗಿ ಕಂಪ್ಯೂಟರ್ ಸಾಫ್ಟ್ ವೇರ್ ನ ನಿರ್ದಿಷ್ಟ ವಿಶ್ಲೇಷಣೆ ಮಾಡಲಾಗುತ್ತದೆ
knf_03755_00833456932	ಸೂತಕವಿದ್ದವರು ಮೇಳದಲ್ಲಿ ಭಾಗವಹಿಸುವಂತಿಲ್ಲ.
knf_03271_01746104505	ಈ ಪಂಥದಲ್ಲಿ ಅಧ್ಯಯನ ವಿಧಾನ ಸಂಪುರ್ಣವಾಗಿ ವ್ಯಕ್ತಿಗತ ಸ್ವಭಾವದಿಂದ ಕಲುಷಿತವಾಗಿದೆಯೆಂದು ಆತನ ವಾದ.
knf_02049_01436073863	ಅಂತಸ್ಥಶಕ್ತಿಯು ಬಲದ ಜೊತೆಗೆ ನಿಕಟವಾದ ಸಂಪರ್ಕ ಹೊಂದಿದೆ.
knf_03755_00254379941	ಪೂರಣವಾದ ವಸ್ತು ಅಥವಾ ಇದರ ಪೂರಣವಾದ ಅಣುವಿನ ಭಾಗಗಳು ನಿಷ್ಕ್ರಿಯವಾಗಿಲ್ಲದಿದ್ದರೆ ಕಾಂತ ಕ್ಷೇತ್ರವನ್ನು ಉಂಟುಮಾಡಿ ಇನ್ನೊಂದು ರೀತಿಯ ಅಂತಸ್ಥಶಕ್ತಿಯನ್ನು ಹೆಚ್ಚಿಸುತ್ತದೆ
knf_00254_01607982531	ಕಾಯಿಯ ಲೇಪದಿಂದ ಗಂಡಮಾಲೆ ವಾಸಿಯಾಗುತ್ತದೆ.
knf_00254_00366138429	ಈ ಗಿಡದ ಬೀಜಕ್ಕೇ ಆಗಲಿ ಭ್ರೂಣಕ್ಕೇ ಆಗಲಿ ಉಪಚಾರ ಮಾಡಿದರೆ ಅದು ಪರಿಣಾಮಕಾರಿಯೆನಿಸುವುದಿಲ್ಲ.
knf_06123_01993092683	ಈ ಕೆಲಸಗಳನ್ನು ರಾತ್ರಿಯ ಊಟ ಮತ್ತು ಸಿಬ್ಬಂದಿಯ ಸಮಾಲೋಚನೆಯನ್ನು ಒಳಗೊಂಡಂತೆ ನಡೆಯುತ್ತದೆ
knf_01493_01589084156	ಅಂಜಾರ್ ಗುಜರಾತ್ ರಾಜ್ಯದ ಕಛ್ ಜಿಲ್ಲೆಯ ಒಂದು ತಾಲೂಕು ಕೇಂದ್ರ.
knf_00557_01203838192	ಒಂದು ಪೂರಕ ಪ್ರದೇಶ
knf_02173_01800944506	ನಿಮ್ಮ ಗಮ್ಯಸ್ಥಾನ ಎಡಭಾಗದಲ್ಲಿರುತ್ತದೆ.
knf_08476_00313971031	ಪ್ರದರ್ಶಿಸಲಾಗುವ ಒಂದು ಅಂಕದ ಕಾಲಾವಧಿಯು ಮೂವತ್ತ ರಿಂದ ತೊಂಬತ್ತು ನಿಮಿಷಗಳವರೆಗೆ ವ್ಯಾಪಿಸಬಹುದು
knf_03755_01372995750	೧೯೧೭, ಮತ್ತೆ ಯುದ್ಧ ನೀತಿಯನ್ನ ವಿರೋಧಿಸಿ ರಷ್ಯಾದ ಮಹಿಳೆಯರು ಊಟ ಮತ್ತು ಶಾಂತಿ ಚಳುವಳಿಯನ್ನ ಫೆಬ್ರವರಿ ತಿಂಗಳ ಕೊನೆಯ ಭಾನುವಾರದಲ್ಲಿ ನಡೆಸಿದರು.
knf_01779_01472593578	ಅನೇಕ ಸಂದರ್ಭಗಳಲ್ಲಿ
knf_06123_01180362300	ಈ ಕೆಳಗಿನ ಭಾಗಗಳು ಹೆಚ್ಚಿನ ಮಾಹಿತಿಯನ್ನು ನೀಡುತ್ತವೆ.
knf_03574_00293212451	ಕೇವಲ ಲಭ್ಯವಿರುವ ದತ್ತ ವಾಹಿನಿಯನ್ನು ಗೂಢಲಿಪೀಕರಣ ಹಾಗೂ ಪ್ರಮಾಣೀಕರಣ ಮಾತ್ರ ಅಳವಡಿಸಿದರೆ ಸುರಕ್ಷತೆ ಲಭ್ಯ.
knf_01493_01088907098	ಮೇಳದಲ್ಲಿ ಸಂಗ್ರಹಿಸಿದ ದವಸ, ಧಾನ್ಯ ಹಾಗೂ ಹಣದಿಂದ ಔತಣಕೂಟದ ಖರ್ಚುಗಳನ್ನು ಭರಿಸುತ್ತಾರೆ.
knf_02049_01134545257	ಅಮೇರಿಕಾದ ಬೋಯಿಂಗ್ ಕಂಪನಿಯು ನಿಲ್ದಾಣದ ಶೀತಕ ವ್ಯವಸ್ಥೆಯನ್ನು ನಿರ್ಮಿಸಿದೆ.
knf_00001_01350409328	ರವಾನಾ ನಿಯಂತ್ರಣಾ ಶಿಷ್ಟಾಚಾರ
knf_01493_02099581899	ಅಂತಾರಾಷ್ಟ್ರೀಯ ವ್ಯಾಪಾರದ ಅಭಿವೃದ್ಧಿ ಮತ್ತು ಸಮರೂಪದ ಬೆಳವಣಿಗೆಗೆ ಅನುಕೂಲ ಮಾಡಿಕೊಡುವುದು.
knf_00557_02071581257	ಪಂದ್ಯಾವಳಿಯ ಅವಧಿಯಲ್ಲಿ ಆಫ್ಘಾನಿಸ್ತಾನವು 5ನೇ ಸ್ಥಾನ ಗಳಿಸಿತು
knf_00557_02094034496	ಪ್ರಥಮ ಅಂತಾರಾಷ್ಟ್ರೀಯ ಮುಕ್ತಾಯಗೊಂಡ 15 ವರ್ಷಗಳ ಅನಂತರ ಅಂತಾರಾಷ್ಟ್ರೀಯ II ಹುಟ್ಟಿಕೊಂಡಿತು.
knf_01796_01475565152	ಶತ್ರುನಾಶಕನೂ ಅರಿಭಯಂಕರನೂ ಆದವನಿವನು.
knf_09696_01505606706	ಈ ಘಟಕಗಳು ಪ್ರಯೋಗಾಲಯಗಳನ್ನು
knf_08476_01253643331	ಹಾಗೂ ಯಾರ ನಾಯಕತ್ವದ ಅಗತ್ಯವೂ ಅದಕ್ಕೆ ಬೇಡ
knf_03755_01379744830	ನಿರ್ಧಾರಗಳು ಮತ್ತು ಸಲಹಾ ಅಭಿಪ್ರಾಯಗಳು ಅದರ ಬಹುಮತದ ಮೇಲೆ ಅವಲಂಬಿಸಿವೆ.
knf_02173_01473678959	ಒಂದು ಕಿಲೋಮೀಟರ್‌ನಲ್ಲಿ
knf_01779_00998268165	ಸಾಗರ ಮಟ್ಟದಿಂದ ಸರಾಸರಿ ಎತ್ತರ ಎರಡು ಸಾವಿರ ಮೀಟರ್
knf_00557_00169213318	ಈ ವ್ಯಕ್ತಿಯು ಒಂದು ಮಾರ್ಪಾಡನ್ನು ಮಾಡಿದರು
knf_05853_01062489230	ದೂರುದಾರರಿಂದ ಪ್ರಕರಣಗಳ ಇತ್ಯರ್ಥವು ಲಿಖಿತ ವಿವರವು ನ್ಯಾಯಾಲಯಕ್ಕೆ ಸಲ್ಲಿಸಲಾಗುತ್ತದೆ.
knf_02049_01094623181	ಈ ವ್ಯವಸ್ಥೆಯಲ್ಲಿ ಪ್ರತಿಲಿಪಿ ದೋಷಗಳನ್ನು ತಡೆಗಟ್ಟಲು ಅಗತ್ಯವಾದ ಊರ್ಜಿತಗೊಳಿಸುವಿಕೆಯ ಮಾಹಿತಿ ಹೊಂದಿರುತ್ತದೆ.
knf_03467_01161434880	ಈ ಕೃತಿಯು ಆ ಕಾಲಕ್ಕೆ ಸಂಬಂಧಿಸಿದ ಒಂದು ಪ್ರಮುಖ ವೈದ್ಯಕೀಯ ನಿಘಂಟಾಗಿದೆ.
knf_05550_00518971862	ಈ ದೇವತೆಗಳಿಗೆ ಸರ್ವಶಕ್ತಿತ್ವವನ್ನೂ ಹೇಳಿದ್ದಾರೆ.
knf_03574_00709040629	ಹೆಚ್ಚಾಗಿ
knf_00557_00777439902	ಅಂದು ಒಂದು ಮಿಲಿಯನ್ ಗಿಂತಲು ಹೆಚ್ಹು ಮಹಿಳೆಯರು ಹಾಗು ಪುರುಷರು ಈ ಚಳುವಳಿಯಲ್ಲಿ ಭಾಗವಹಿಸಿದರು.
knf_01796_00806898379	ವಿಸ್ತಾರವಾದ ಭೂಮಿಯನ್ನು ಪೋಷಿಸುತ್ತಿದ್ದಾನೆ.
knf_00254_01539374372	ಅಮೆರಿಕದಲ್ಲೂ ಇದರ ವ್ಯವಸಾಯವಿದೆ.
knf_09696_00571573952	ಗಣನೆಗಳನ್ನು ಆಧುನಿಕ ಪಿಸಿಯಲ್ಲಿ ನೇರವಾಗಿ ಮಾಡುವುದು ಅಪ್ರಾಯೋಗಿಕ ಎಂದು ಹೇಳಲಾಗಿದೆ.
knf_01779_00597615165	ಪಿರನೀಸ್ ಪರ್ವತಶ್ರೇಣಿಯ ಪೂರ್ವ ಭಾಗದಲ್ಲಿರುವ ಈ ದೇಶ ಸ್ಪೇನ್ ಮತ್ತು ಫ್ರಾನ್ಸ್‌ಗಳೊಂದಿಗೆ ಗಡಿಯನ್ನು ಹೊಂದಿದೆ.
knf_01779_01664474341	ಅಲ್ಲದೆ ಆಕ್ಸಿಜನ್ನಿನ ಅವಶ್ಯಕತೆ ಸ್ವಲ್ಪವಿದ್ದರೂ ಅದು ಬೇಕೇಬೇಕು.
knf_02173_00576758601	ಸಾವಿರ ಅಡಿಗಳಲ್ಲಿ
knf_05820_01252332277	ಇಂಥ ಒಂದು ಕ್ರಿಯಾಶೀಲ ಪ್ರವೃತ್ತಿ ಸಾವಿರದ ಒಂಬೈನೂರ ನಲ್ವತ್ತೊಂಬತ್ತು, ಸಾವಿರದ ಒಂಬೈನೂರ ಐವತ್ತನಾಲ್ಕರ ಅವಧಿಯಲ್ಲಿ ಪ್ರಥಮ ಬಾರಿಗೆ ಕಂಡುಬಂತು.
knf_02173_00639662309	ರಾಂಪ್‌ನಲ್ಲಿ ಎಡಕ್ಕೆ ತಿರುಗಿ
knf_05820_00380697528	ವಸ್ತುಕ ವಿಜ್ಞಾನ ,  ಇದು ಭೌತಿಕವಾಗಿ ರಾಚನಿಕ ವಿಷಯಗಳಿಗೆ ಸಂಬಂಧಿಸಿದ್ದಾಗಿದೆ.
knf_02173_01462699793	ಡೇಟಾ ಸಂಪರ್ಕ ಕಳೆದುಹೋಗಿದೆ
knf_07598_01080614219	ಅಗ್ನಿಯಲ್ಲಿ ಕಬ್ಬಿಣವನ್ನು ಹದ ಮಾಡಿದಂತೆ ಪಶ್ಚಾತ್ತಾಪದ ಬೇಗೆಯಲ್ಲಿ ಮನಸ್ಸು ಶುದ್ಧವಾಗುತ್ತದೆ
knf_03271_01841652157	ಈ ಸಲಹಾ ಅಭಿಪ್ರಾಯಗಳನ್ನು ಅಂತರರಾಷ್ಟ್ರೀಯ ನ್ಯಾಯಾಲಯದ ನ್ಯಾಯಿಕ ಪ್ರಕರಣಗಳ ಪಟ್ಟಿಯ ಲೇಖನದಲ್ಲಿ ನೋಡಬಹುದಾಗಿದೆ.
knf_01493_01546795415	ಅಸೋಶಿಯೇಟ್ ಸದಸ್ಯರು ಪೂರ್ಣ ಸದಸ್ಯತ್ವಕ್ಕೆ ಹೆಜ್ಜೆಯಿಡುವ ಮೊದಲೇ ಅಂತಾರಾಷ್ಟ್ರೀಯ ಪಂದ್ಯಗಳಲ್ಲಿ ನಿಯಮಿತ ಅನುಭವ ಪಡೆಯಲು ಆಸ್ಪದ ಕಲ್ಪಿಸಲು ಇದನ್ನು ಪರಿಚಯಿಸಲಾಗಿದೆ.
knf_02049_00802015972	ದುಷ್ಟಭಾವನೆಗಳನ್ನು ಇಟ್ಟುಕೊಂಡು ಮಾಡಿದ ಕಾರ್ಯಕ್ಕೆ ಕಠಿಣ ಶಿಕ್ಷೆಯನ್ನೇ ವಿಧಿಸಲಾಗುತ್ತದೆ.
knf_09696_00224211693	ಪ್ರಪಂಚದ ಕಾರ್ಮಿಕ ಚಳವಳಿಯನ್ನು ತ್ವರಿತಗೊಳಿಸಿ ಸಮಾಜವಾದಿರಾಷ್ಟ್ರಗಳ ಸ್ಥಾಪನೆಯನ್ನು ಸಾಧಿಸುವುದೇ ಇದರ ಮುಖ್ಯ ಗುರಿ.
knf_03755_01860004578	ಈ ಬೇರೆ ಬೇರೆ ಸ್ಥಾನಗಳಲ್ಲಿ ಬೇರೆ ಬೇರೆ ರೂಪಗಳಲ್ಲಿ ಒಬ್ಬನೇ ಆದ ವಿಶ್ವಾತ್ಮನು ಹೇಗೆ ಅಭಿವ್ಯಕ್ತನಾಗಿರುವನೆಂಬುದನ್ನು ವಿಶ್ವದಲ್ಲೇ ಅತಿ ಪ್ರಾಚೀನವಾದ ವೇದಗಳು ಉದ್ದಕ್ಕೂ ಘೋಷಿಸುತ್ತವೆ.
knf_09696_01269402138	ಯಾಸ್ಕರು ಏಕ ಆತ್ಮಾ ಬಹುಧಾ ಸ್ತೂಯತೇ ಎಂದು ಈ ಅಂಶವನ್ನು ಪ್ರತಿಪಾದಿಸಿದ್ದಾರೆ.
knf_01796_00666249967	ಯುದ್ಧಕ್ಕೆ ಮುಂಚಿನ ಜನನ ಪ್ರಮಾಣವನ್ನು 1939 ಮತ್ತು 1941ರಲ್ಲಿನ ಅಂಕಿ ಸಂಖ್ಯೆಯ ಅನ್ವಯ
knf_07598_00280177665	ಅಂತರಾಷ್ಟ್ರೀಯ ಬಾಹ್ಯಾಕಾಶ ನಿಲ್ದಾಣ ಭೂಮಿಯ ಕೆಳ ಕಕ್ಷೆಯಲ್ಲಿರುವ ವಾಸಯೋಗ್ಯ ಕೃತಕ ಉಪಗ್ರಹ.
knf_02049_00693491773	ಒಳಗಿರುವ ಜೈರೋಸ್ಕೋಪ್ ಅಥವಾ ನೂಕುಕಾರಿ ಕಕ್ಷೆಯನ್ನು ಸರಿಪಡಿಸುವುದು.
knf_03574_00675247091	ರಾಸಾಯನಿಕ ವಸ್ತುವಿನ ರಾಸಾಯನಿಕ ಶಕ್ತಿಯನ್ನು ರಾಸಾಯನಿಕ ಪ್ರತಿವರ್ತನೆಯಿಂದ ಇತರ ರೂಪದ ಶಕ್ತಿಯಾಗಿ ಮಾರ್ಪಡಿಸಬಹುದು.
knf_00557_00168671133	ನೈಸರ್ಗಿಕ ಸಂಪನ್ಮೂಲಗಳ ಕೊರತೆ.
knf_02049_00741921942	ಇದರ ಮೊದಲ ಸಮ್ಮೇಳನ ಏರ್ಪಡಿಸಿದ್ದ ಸಂಘಟನಾ ವ್ಯವಸ್ಥೆ ಎರಡನೆಯ ಮಹಾಯುದ್ಧದ ಕಾಲಕ್ಕೆ ಸರಿಹೊಂದದೆ
knf_01796_00080146636	ಕೆನಡಾ
knf_03844_01059543193	ಬಹುಶಃ ಅಂತಲಿಕಿತ ತಕ್ಷಶಿಲೆಯಲ್ಲಿಯೇ ರಾಜ್ಯವಾಳುತ್ತಿದ್ದನೆಂದು ಊಹಿಸಬಹುದು.
knf_03755_01509790333	ಒಮ್ಮೆ ನಿರ್ಣಯಗಳು ನೀಡಲ್ಪಟ್ಟಾಗ ನ್ಯಾಯಾಲಯವು ಬಹುತೇಕ ತನ್ನೆಲ್ಲ ಅಭಿಪ್ರಾಯಗಳನ್ನು ಮಂಡಿಸಿರುತ್ತದೆ.
knf_00557_00212713992	ಇದು ವಿಮಾನ
knf_07598_00874773506	ಯುದ್ಧ ನಡೆಯುತ್ತಿದ್ದಾಗ ಅಂತಾರಾಷ್ಟ್ರೀಯದ ಕಾರ್ಯಕಾರಿ ಸಮಿತಿಯ ಸಭೆಗಳು ನಡೆಯಲಿಲ್ಲವಾದರೂ ಅಂತಾರಾಷ್ಟ್ರೀಯ ಚಟುವಟಿಕೆಗಳನ್ನು ಪುನರಾರಂಭಿಸಲು ಕೆಲವು ಪ್ರಯತ್ನಗಳು ನಡೆದುವು.
knf_03755_00906709421	ಗ್ರಾಮದಲ್ಲಿ ಸರಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ಇದೆ.
knf_09696_01363763646	ಮರದ ಅಂಟು ಚಿತ್ರಣದ ಕಲಾತಂತ್ರವು ಕೆಲವೊಮ್ಮೆ ಕಲೆಯ ಒಂದೇ ಕಾರ್ಯದಲ್ಲಿ ವರ್ಣಚಿತ್ರ ಮತ್ತು ಇತರ ಮಾಧ್ಯಮದೊಂದಿಗೆ ಸಂಯೋಜಿಸಲಾಗುತ್ತದೆ.
knf_05820_01364183383	ದೊಡ್ಡ ಕರುಳಿನ ಕೊನೆಯ ಐದು ಇಂಚು ಭಾಗ ಗುದ.
knf_06123_00300251019	ಪ್ರಕೃತಿಯ ಮಹತ್ಕಾರ್ಯಗಳನ್ನೆಲ್ಲ ಆಕಾಶ ದೇವತೆಗೆ ಹೇಳಿರುವುದರ ಅರ್ಥ ಸ್ಪಷ್ಟವಾಗುವುದು.
knf_00254_00183476857	ವಿಸ್ತೀರ್ಣ 971 ಚದುರ ಕಿಲೋಮೀಟರ್
knf_01796_00851950447	ಬಹು ಹಿಂದೆ ಪೂರ್ವದೇಶಗಳಲ್ಲಿ ಪ್ರವರ್ಧಮಾನ ಸ್ಥಿತಿಯಲ್ಲಿದ್ದ ಚಕ್ರಾಧಿಪತ್ಯಗಳ ಕಾಲದಲ್ಲಿಯೂ ಅಂಚೆ ವ್ಯವಸ್ಥೆಯಿದ್ದುದು ತಿಳಿದು ಬಂದಿದೆ.
knf_00557_00589218687	ಇವು ಹಸ್ತಪಾದಗಳಲ್ಲಿ ಉಗುರುಗಳವರೆಗೆ ಹೋಗುತ್ತವೆಂಬುದನ್ನು ಒಪ್ಪಬಹುದು.
knf_03755_01999003095	ವಿಭಾಗೀಯ ಕೇಂದ್ರದ ಸೌಲಭ್ಯವೊಂದು ತನಗೆ ನಿಗದಿಮಾಡಲಾಗಿರುವ ಒಂದಕ್ಕಿಂತ ಹೆಚ್ಚು ಮೂರು, ಅಂಕೆಯ ಸಂಕೇತವನ್ನು ಹೊಂದಬಹುದಾಗಿದೆ.
knf_07901_02030098362	ರಷ್ಯಾದ ಸೈನ್ಸ್ ಪವರ್ ಪ್ಲ್ಯಾಟ್ ಫಾರ್ಮ್ ಅನ್ನು ರದ್ದುಪಡಿಸಿದ ಕಾರಣ ರಷ್ಯನ್ ಆರ್ಬಿಟಲ್ ಸೆಗ್ಮೆಂಟ್
knf_06123_01182393256	ಅಂಗಗಳನ್ನು ಅಥವಾ ಇಡಿ ಜೀವಾಣುವನ್ನು ಮುದ್ರಿಸಲು ಸಾಧ್ಯವಾಗಬಹುದು.
knf_05550_00096833865	ತೀರಪ್ರದೇಶದಲ್ಲಿ ಸುಮಾರು 15 ಇಂಚು ಮಳೆ ಬೀಳುತ್ತದೆ
knf_03271_01103520645	ಇದು ಕಕ್ಷೆಯ ಮೇಲಿನ ವ್ಯವಸ್ಥೆಗಳ ನಿರ್ವಹಣೆ
knf_02049_01379656060	ಅಲ್ಲದೇ ಇದನ್ನು ಅನುಸರಿಸಿ 2010 ರ ಮೇಯಲ್ಲಿ ರಷ್ಯನ್ ಉಪಾಂತ ಘಟಕ ರಾಸವೆಟ್ ಅನ್ನು ಉಡಾಯಿಸಲಾಯಿತು
knf_02049_01485448982	ಸರ್ಕಾರದ ಲಕೋಟೆಗಳ ಮೇಲೆ ಸಾಧಾರಣವಾಗಿ ಭಾರತ ಸರ್ಕಾರದ ಸೇವೆಯ ಮೇರೆಗೆ ಎಂದು ಬರೆಯುತ್ತಾರಲ್ಲದೆ ಸರ್ಕಾರದ ಕೆಲಸಕ್ಕಾಗಿಯೇ ಗೊತ್ತುಮಾಡಲ್ಪಟ್ಟಿರುವ ಸರ್ವಿಸ್ ಸ್ಟಾಂಪ್ ಎಂಬ ಸರ್ಕಾರಿ ಅಂಚೆ ಚೀಟಿಗಳನ್ನು ಹಚ್ಚುತ್ತಾರೆ.
knf_01779_00948381135	ನಿಗದಿಯಾದ ಮಿತಿಯನ್ನು ದಾಟಿದ ಸದಸ್ಯರುಗಳಿಗೆ ಒಂದಿಲ್ಲೊಂದು ರೀತಿಯಲ್ಲಿ ದಂಡ ವಿಧಿಸಲಾಗುತ್ತಿತ್ತು.
knf_09123_01085882364	ದೀರ್ಘಕಾಲದ ಮಾನವಸಹಿತ ಬಾಹ್ಯಾಕಾಶ ವಿಮಾನವನ್ನು ನಿರ್ಮಿಸಲು ತಾಂತ್ರಿಕ ಪ್ರಗತಿಯ ಅಗತ್ಯವಿರುತ್ತದೆ ಎಂದು ಆಲೋಚಿಸಲಾಗಿದೆ
knf_03755_01111489671	ಇದರಲ್ಲಿ ವ್ಯಾಪಕ ಪ್ರಾಯೋಗಿಕ ಅಂಶಗಳೂ ಸೇರಿವೆ.
knf_08476_01081574876	ಹಾಡುವವರಿಗೆ ಮನೆಮನೆಯಲ್ಲೂ ದೀಪಕ್ಕೆ ಎಣ್ಣೆ ಬಟ್ಟೆ ಅಕ್ಕಿ ಹಣ್ಣು ತೆಂಗಿನಕಾಯಿ ಹಬ್ಬದ ತಿಂಡಿ ಚಿಲ್ಲರೆ ಹಣ ಕೊಡುತ್ತರೆ
knf_01779_01683745496	ಇವರಿಗೂ ವಿದ್ಯುತ್ತುಗಳಿಗೂ ನಿಕಟಸಂಬಂಧವಿದೆ.
knf_09696_01679633561	ಹಲವಾರು ಸಂದರ್ಭಗಳಲ್ಲಿ ಕೃಷಿಯ ಸಾಧಾರಣವಾದ ನಿರ್ವಹಣೆಯು ಸಾಕಾಗುವುದಿಲ್ಲ.
knf_03755_01694613214	ಇದರಲ್ಲಿ ಮೊದಲ ಬೆಳೆಯ ಹಣ್ಣು ಪರಾಗಸ್ಪರ್ಶವಿಲ್ಲದೆ ರೂಪುಗೊಳ್ಳುತ್ತದೆ.
knf_01779_02020943682	ಗಿಡದ ಮೇಲೆಯೇ ಉಳಿದಿರುವ ಹಣ್ಣುಗಳನ್ನು ಕೊಯ್ಯುತ್ತಾರೆ
knf_00001_00941503872	ಬದ್ಧಗೊಳಿಸುವ ಈ ವಿಧಾನಕ್ಕೆ 'ಕೋಶೀಕರಣ' ಎನ್ನಲಾಗುತ್ತದೆ.
knf_02049_00305714632	ರಾಜಧಾನಿ ದೆಹಲಿ
knf_03844_01486347653	ಉಳಿದ ಭೂಭಾಗ ಕೆಂಪು ಜಂಬುಮಣ್ಣಿನಿಂದ ಕೂಡಿದೆ.
knf_03755_01967610601	ಇದರಿಂದಾಗಿ ದೇಶ ಸಂಕಷ್ಟ ಎದುರಿಸಬೇಕಾಗುತ್ತದೆ.
knf_02049_01018986065	ಅಲ್ಲದೇ ಇವರು ಯಾವುದೇ ವಿಮಾನಕ್ಕೆ ಪರಿಣಾಮಕಾರಿ ಸಾಗಣೆ ಸಾಮರ್ಥ್ಯ ಹಾಗು ಪ್ರತಿರೋಧದಂತಹ ಬಲಗಳನ್ನು ಪ್ರತ್ಯೇಕಿಸಿದ ಮೊದಲ ವ್ಯಕ್ತಿಯೆಂದು ಗುರುತಿಸಲ್ಪಡುತ್ತಾರೆ.
knf_03755_01244482848	ಅಂತರ್ಜಲ ಎಲ್ಲ ಕಾಲದಲ್ಲೂ ಒಂದೇ ಮಟ್ಟವನ್ನು ಉಳಿಸಿಕೊಳ್ಳುವುದಿಲ್ಲ.
knf_08476_00280870829	ಗೋಂದು ಮುಂತಾದ ಸಸ್ಯಜನ್ಯ ಅಂಟುಪದಾರ್ಥಗಳು ನೀರಿನಿಂದ ಮೆದುವಾಗುವುದರಿಂದ ಅವುಗಳ ಅಂಟಿಸುವ ಶಕ್ತಿ ಕಡಿಮೆ ಇರುತ್ತದೆ
knf_03574_00105365061	ಗಗನಯಾತ್ರೆ ಹದಿನೈದು ಮುಗಿಯುವ ಹೊತ್ತಿಗೆ ನೂರ ಮೂವತ್ತೆಂಟು ಪ್ರಮುಖ ವಿಜ್ಞಾನ ಪರೀಕ್ಷೆಗಳನ್ನು ಅಂತರರಾಷ್ಟ್ರೀಯ ಬಾಹ್ಯಾಕಾಶ ನಿಲ್ದಾಣದ ಮೇಲೆ ನಡೆಸಲಾಗಿತ್ತು.
